sweep,target_fps,phase,status,started_iso,elapsed_s,last_step,wns_ns,fmax_mhz,lut,lut_pct,ff,bram18,bram18_pct,dsp,dsp_pct,est_fps_fpga,est_latency_us,bitstream_mb,folding_json,cpu_layers_json,log_path,error_excerpt
mlp_int8,1000,phase1,success,2026-04-25T22:26:34Z,1258.0,step_deployment_package,3.704,158.83,13150,18.64,16025,6,1.39,2,0.56,48828.125,23.68,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int8_fps1000/build.log,
mlp_int8,10000,phase1,success,2026-04-25T23:50:15Z,1231.3,step_deployment_package,3.704,158.83,13150,18.64,16025,6,1.39,2,0.56,48828.125,23.68,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int8_fps10000/build.log,
mlp_int8,100000,phase1,success,2026-04-26T00:10:46Z,1247.1,step_deployment_package,3.843,162.42,13232,18.75,16254,6,1.39,5,1.39,195312.5,8.32,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int8_fps100000/build.log,
mlp_int8,500000,phase1,success,2026-04-26T00:31:34Z,1606.8,step_deployment_package,2.299,129.85,25256,35.79,23030,9,2.08,18,5.0,625000.0,2.88,5.31,"{""MVAU_hls_0"": {""PE"": 4, ""SIMD"": 4}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 2}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int8_fps500000/build.log,
mlp_int4,1000,phase1,success,2026-04-26T00:58:21Z,1168.3,step_deployment_package,5.448,219.68,8348,11.83,11927,6,1.39,2,0.56,48828.125,23.68,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int4_fps1000/build.log,
mlp_int4,10000,phase1,success,2026-04-26T01:17:49Z,1198.4,step_deployment_package,5.448,219.68,8348,11.83,11927,6,1.39,2,0.56,48828.125,23.68,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int4_fps10000/build.log,
mlp_int4,100000,phase1,success,2026-04-26T01:37:47Z,1175.9,step_deployment_package,5.716,233.43,8551,12.12,12351,6,1.39,5,1.39,195312.5,8.32,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int4_fps100000/build.log,
mlp_int4,500000,phase1,success,2026-04-26T01:57:23Z,1204.4,step_deployment_package,3.628,156.94,8758,12.41,12730,7,1.62,20,5.56,625000.0,2.88,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 16}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 2}}","[[""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/mlp_int4_fps500000/build.log,
cnn_int8,1000,phase1,success,2026-04-26T02:17:28Z,1405.7,step_deployment_package,4.006,166.83,17930,25.41,19889,29,6.71,3,0.83,1328.656462585034,911.37,5.31,"{""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""Transpose"", ""Transpose_0""], [""Im2Col"", ""Im2Col_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_1""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/cnn_int8_fps1000/build.log,
cnn_int8,10000,phase1,success,2026-04-26T02:40:54Z,1885.6,step_deployment_package,1.672,120.08,36787,52.14,17499,9,2.08,32,8.89,13896.609227348526,157.33,5.31,"{""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 2}, ""MVAU_hls_0"": {""PE"": 8, ""SIMD"": 4}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""Transpose"", ""Transpose_0""], [""Im2Col"", ""Im2Col_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_1""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/cnn_int8_fps10000/build.log,
cnn_int8,100000,phase1,resource_fail,2026-04-26T03:12:19Z,2225.7,step_synthesize_bitfile,,,,,,,,,,,,,,,finn/target_fps_sweep_runs/cnn_int8_fps100000/build.log,"ERROR: [Place 30-487] Vivado place_design exceeded ZU3 CLB capacity: 84243 LUTs needed vs 70560 available (1398 unplaced CLBs). build.log only had FINN-relayed [Common 17-69] ""Unable to open""; true root cause from /tmp/finn_dev_samu/vivado_zynq_proj_pfo6ni3c/finn_zynq_link.runs/impl_1/runme.log. See sweep_analysis.md."
cnn_int4,1000,phase1,success,2026-04-26T03:49:25Z,1296.1,step_deployment_package,5.9,243.9,10966,15.54,13986,22,5.09,3,0.83,1328.656462585034,911.37,5.31,"{""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""Transpose"", ""Transpose_0""], [""Im2Col"", ""Im2Col_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_1""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/cnn_int4_fps1000/build.log,
cnn_int4,10000,phase1,success,2026-04-26T04:11:01Z,1369.5,step_deployment_package,4.739,190.08,11532,16.34,14929,7,1.62,40,11.11,13896.609227348526,149.49,5.31,"{""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 2}, ""MVAU_hls_0"": {""PE"": 4, ""SIMD"": 9}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""Transpose"", ""Transpose_0""], [""Im2Col"", ""Im2Col_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_1""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/cnn_int4_fps10000/build.log,
cnn_int4,100000,phase1,success,2026-04-26T04:33:51Z,1428.9,step_deployment_package,3.912,164.26,13224,18.74,16897,6,1.39,160,44.44,63775.510204081635,33.07,5.31,"{""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""MVAU_hls_0"": {""PE"": 16, ""SIMD"": 9}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""Transpose"", ""Transpose_0""], [""Im2Col"", ""Im2Col_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_1""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/cnn_int4_fps100000/build.log,
cnn_int4,500000,phase1,success,2026-04-26T04:57:40Z,1420.5,step_deployment_package,3.912,164.26,13224,18.74,16897,6,1.39,160,44.44,63775.510204081635,33.07,5.31,"{""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 8}, ""MVAU_hls_0"": {""PE"": 16, ""SIMD"": 9}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""Transpose"", ""Transpose_0""], [""Im2Col"", ""Im2Col_0""], [""MatMul"", ""MatMul_0""], [""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_1""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",finn/target_fps_sweep_runs/cnn_int4_fps500000/build.log,
